"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2021/1/14","","","後輪 1900","1900","","","","","","","","","","","","","","","","","","","","",""
"2021/1/15","EPG-0723","","螺絲200","200","","","","","","","","","","","","","","","","","","","","",""
"2021/1/16","EPG-0723","7598","RR前叉7400，ZOO前內外套管850，SKF培林650，後內套管400，側柱+彈簧2300，卡夢風鏡(含螺絲)1500，大牌螺絲300，前後輪心(鍍鈦)2050","15450","","","","","","","","","","","","","","","","","","","","",""
"2021/1/16","MKJ-6866","","拆行車紀錄器1000","1000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/18","EMM-7729","26313","固滿德後輪1950，ZOO齒盤墊片500","2450","","","","","","","","","","","","","","","","","","","","",""
"2021/1/19","NCY-1695","","CODO傳動組前+後 6600","6600","","","","","","","","","","","","","","","","","","","","",""
"2021/1/19","NCX-5355","","螺絲3000","3000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/20","EMG-9160","","水行俠前2050 後1900，ZOO墊片500","4450","","","","","","","","","","","","","","","","","","","","",""
"2021/1/20","EMG-6191","35221","翹牌4000，擋泥板300(含螺絲)，卡夢鴨尾1400","5700","","","","","","","","","","","","","","","","","","","","",""
"2021/1/20","MHQ-9190","24863","LMG皮帶8800，BPM後煞車750","9500","","","","","","","","","","","","","","","","","","","","",""
"2021/1/21","EPG-0723","","油管4600，油杯下移*2 600，惡搞飛炫(黑)1900，FASS搖臂13500，TI OLNY 6000，卡鉗下移2500，後煞車皮 7000，油管螺絲500，煞車油300，JZ齒盤螺柱4250","24600","","","","","","","","","","","","","","","","","","","","",""
"2021/1/23","EPG-0723","","油管螺絲500，煞車油300，JZ齒盤螺柱4250，皮帶8800，裸把座6619，油杯1600，腳踏螺絲640，碟盤3700，碟盤螺絲600","27000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/25","EMG-6191","31678","水行俠(R)2250","2250","","","","","","","","","","","","","","","","","","","","",""
"2021/1/25","EMR-6191","12078","RR後避震4000，握把500，加油管400，子彈袋100","5000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/26","","16799","前齒850，ZOO後齒 41T(紅)3500，齒盤座4250，中支架1700，前煞車皮800","11000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/26","EPG-0723","8139","卡夢鴨尾1700","1700","","","","","","","","","","","","","","","","","","","","",""
"2021/1/26","ENB-9138","9078","加油管500，代工200，白鐵螺絲200","900","","","","","","","","","","","","","","","","","","","","",""
"2021/1/27","EPF-3072","5075","置物箱690","690","","","","","","","","","","","","","","","","","","","","",""
"2021/1/27","EPF-6566","10677","RR前叉(ABS版)7400+500，BPM前煞車1200，BPM前碟2700，鍍鈦前輪心800，調整後避震400，6*25*2+2紅墊片300，6*25*4 520，8*25*3 450","14270","","","","","","","","","","","","","","","","","","","","",""
"2021/1/30","ENP-1817","","EK黑金鍊3500，CANBER風鏡1000","4500","","","","","","","","","","","","","","","","","","","","",""
"2021/1/30","EPG-0723","","蜂鷹行車紀錄器+正電引出線=7000，BPM碟盤2600，後油管(紅)2000，前碟盤螺絲(正鈦)*5 1800，後碟盤螺絲(鍍鈦)*5 800，CMSR前輪2300，8*20*2 280，8*25*2 300","17880","","","","","","","","","","","","","","","","","","","","",""
"2021/1/31","EMG-2781","36295","RR前避震7400，ANCHOR輻射卡鉗4800，前碟3400，三角台1600，前內套管300，後內套管400，培林850，後碟盤2000，FRANDO後來令800","21550","","","","","","","","","","","","","","","","","","","","",""
"2021/2/1","EPG-0723","8529","轉向照地 2300","2300","","","","","","","","","","","","","","","","","","","","",""
"2021/2/4","EMQ-2689","14869","手機架1000","1000","","","","","","","","","","","","","","","","","","","","",""
"2021/2/4","EMY-2152","","翹排檔版300","300","","","","","","","","","","","","","","","","","","","","",""
"2021/2/4","EMQ-9675","12382","KRACE土除3700，螺絲300","4000","","","","","","","","","","","","","","","","","","","","",""
"2021/2/6","EPG-0723","","古銅色卡鉗 17500，左15右14 RCS 19600，M50 11500，煞車油300","48900","","","","","","","","","","","","","","","","","","","","",""
"2021/2/7","EMG-8111","8979","後輪內套管 400","400","","","","","","","","","","","","","","","","","","","","",""
"2021/2/9","EPG-0723","","KOSO頭燈5500，KOSO尾燈3600，惡搞鈦側柱5800，卡夢後扶手3400，鈦螺絲2800","21100","","","","","","","","","","","","","","","","","","","","",""
"2021/2/9","EMG-8867","2796","後視鏡 100","100","","","","","","","","","","","","","","","","","","","","",""
"2021/2/9","EQB-8222","14523","翹牌4000，大牌背板1200，加油管700，握把套500","6400","","","","","","","","","","","","","","","","","","","","",""
"2021/2/10","EPG-0723","","省力中柱1700，後視鏡座*2 1200，螺絲840+940","4680","","","","","","","","","","","","","","","","","","","","",""
"2021/2/17","EMG-1726","27138","BPM後碟2000，後來令750","2750","","","","","","","","","","","","","","","","","","","","",""
"2021/2/17","EPD-8838","24091","KOSO頭燈5700，KOSO尾燈4000，ZOO 41T後齒(金)3500，RK後齒850，BPM後碟2000，後來令750","16800","","","","","","","","","","","","","","","","","","","","",""
"2021/2/20","ENP-1817","","前輪2300","2300","","","","","","","","","","","","","","","","","","","","",""
"2021/2/20","ENP-1085","","握把套500，加油管400，端子200，前輪1900","3000","","","","","","","","","","","","","","","","","","","","",""
"2021/2/21","EPG-0723","","鍛造車體前護蓋+迷你風鏡 7000","7000","","","","","","","","","","","","","","","","","","","","",""
"2021/2/22","EMQ-9967","19179","後碟 2000，後來令片750","2750","","","","","","","","","","","","","","","","","","","","",""
"2021/2/23","EMG-6131","22000","前後水行俠2150+2250，主腳架1700，煞車皮1600，前培林650","8350","","","","","","","","","","","","","","","","","","","","",""
"2021/2/23","EMG-8268","8565","大修車","25280","","","","","","","","","","","","","","","","","","","","",""
